SubGroup_Armenian,Subcategory_id,SubGroup_English
Լոգանքի սրբիչ մեծ,301,Large bath towel
Լոգանքի սրբիչ միջին,302,Medium bath towel
Լոգանքի սրբիչ պոքր,303,Small bath towel
Լոգարանի վարագույր,304,Bathroom curtain
Խոհանոցի բռնիչ,306,Kitchen handle
Խոհանոցի սրբիչ մեծ,307,Kitchen towel large
Խոհանոցի սրբիչ փոքր,308,Kitchen towel small
Կլոր սրբիչ,309,Round towel
Հողաթափ,310,Slipper
Մահճակալի Ծածկոց,311,Bed cover
Մանկական գորգ,312,Children's rug
Մանկական ծածկոց,313,Children's blanket
Մանկական կլոր գորգ,314,Children's round rug
Մեկ տեղանի ծածկոց,315,Single bed cover
Մեկ տեղանի սավան,316,Single bed sheet
Սեղանի գորգիկ,317,Table mat
Սեղանի ծածկոց,318,Table cover
Վարագույր,319,Curtain
Տեռմո պայուսակ,320,Thermo bag
Արևային ակնոց,339,Sunglasses
Գրպանի թաշկինակ,342,Pocket handkerchief
Թաշկինակ,344,Handkerchief
Թիթեռնիկ,345,Bow tie
Լողազգեստ-շորտեր,361,Swimsuit-shorts
Ներքնազգեստ,375,Underwear dress
Կտոր,401,Cloth
TV,402,TV
Զուգագուլպա,403,Tights
Կոշիկի տակացու,404,Shoe sole
Թրենչ,405,Trench
Պոնչո,406,Poncho
Սրբիչ խոհանոցային,408,Kitchen towel
Խաղալիք,410,Toy
Խոհանոցային տեխնիկա,411,Kitchen appliances
Մեքենայի լույսեր,412,Car lights
Հեծանիվի լույսեր,413,Bicycle lights
Ականջակալներ,414,Headphones
Վարսահարդարիչ,415,Hair dryer
Հեռակառավարման վահանակ,416,Remote control
Մերսման սարքեր,417,Massage devices
Արևային լույսեր,418,Solar lights
Տոնածառի լույսեր,419,Christmas tree lights
Սանր,420,Hairbrush
Վզկապ կենդանու,421,Pet collar
Արտաքին մարտկոց,422,Power bank
Լիցքավորիչ,423,Charger
Օդափոխիչ սարքեր,424,Air conditioners
Լամպ,426,Lamp
Հոսանքի հաղորդիչ,427,Power supply
Պրոյեկտոր,428,Projector
Անալոգային սարք,429,Analog device
Մազահեռացման սարք,430,Hair removal device
Տպիչ,431,Printer
Աթոռ,432,Chair
Սափրիչ,433,Shaver
Հովացման համակարգ,434,Cooling system
Համակարգչային պարագաներ,435,Computer accessories
Լոգարանային հավաքածու,436,Bathroom set
Նկարահանող սարքեր,437,Photographic devices
Միջատասպան միջոց,438,Insecticide
Ջերմաչափ,439,Thermometer
Սավան,440,Sheet
Բարձի երես հավաքածու 2,441,Pillowcase set 2
Երկարաթև շապիկ հավաքածու 2,442,Long-sleeved shirt set 2
Զուգագուլպա հավաքածու 2,443,Tights set of 2
Գուլպաներ 2 հավաքածու,444,Socks set of 2
Գուլպաներ 3  հավաքածու,445,Socks set of 3
Գուլպաներ 4  հավաքածու,446,Socks set of 4
Գուլպաներ 5  հավաքածու,447,Socks set of 5
Գուլպաներ 6  հավաքածու,448,Socks set of 6
Գուլպաներ 7 հավաքածու,449,Socks set of 7
Գուլպաներ 10  հավաքածու,450,Socks set of 10
Ծրար,451,Envelope
Սրբիչ բաղնիքի,452,Bath towel
Փողկապ 2 հավաքածու,453,Tie 2 sets
Շապիկ 2 հավաքածու,454,T-shirt 2 sets
Լեգինգ 2 հավաքածու,455,Leggings 2 sets
Շորտեր 2 հավաքածու,456,Shorts 2 sets
անթև շապիկ +շորտ+շապիկ +կիսաշրջազգեստ,457,sleeveless shirt + shorts + t-shirt + skirt
անթև շապիկ+շորտ,457,sleeveless shirt + shorts
անթև շապիկ+վերնաշապիկ+շորտ,457,sleeveless shirt + button-up shirt + shorts
շապիկ+շորտ,457,t-shirt+shorts
Շորտ+շապիկ,457,Shorts+T-shirt
Լեգինգ+շապիկ,458,Leggings+T-shirt
Լեգինգ+շապիկ 2 հավաքածու,459,Leggings+T-shirt 2 sets
Գլխարկ կեպի,460,Cap
Կիսաշրջազգեստ+շապիկ,461,Skirt+T-shirt
Պիժամա+զգեստ,462,Pajamas+dress
Կարճ տաբատ,463,short pants
Տոպ+Շորտ,464,Top+Shorts
Բարձրակրունկ Կոշիկ,465,High-heeled shoes
ժակետ,466,Light Jacket
Երեկոյան Զգեստ,467,Evening dress
Անձրևազգեստ,468,Rain suit
շապիկ+տաբատ+գլխարկ,469,T-shirt+Pants+Hat
կիսաճտքավոր կոշիկ,470,Ankle Boots
անթև բաճկոն,471,sleeveless jacket
Բոդի Լողազգեստ,472,One-piece swimsuit
լվացքի ցանց,473,laundry net
կեդ,474,sneakers
ՊԱՅՈՒՍԱԿ ԿՈՍՄԵՏԻԿԱՅԻ,475,COSMETICS BAG
ճտքավոր կոշիկ,476,Tall boots
պլաշ,477,Trench coat
սաբոկ,478,boots
ՍՐԲԻՉ,479,Towel
տոպ+գլխարկ,481,top+hat
ՏԱԲԱՏ ԼԵԳԻՆՍ,482,LEGGINGS PANTS
անթև շապիկ+տաբատ+կիսաշրջազգեստ 4 սեթ,483,sleeveless shirt + pants + skirt 4-piece set
երկարաթև շապիկ+տաբատ,483,ong-sleeve shirt + pants
շապիկ+տաբատ,483,T-shirt+Pants
բոդի+գլխարկ+գոգնոց,484,bodysuit+hat+bib
գլխարկ+գոգնոց+կոմբինեզոն,484,hat+bib+overalls
Ժիլետ+Տաբատ,485,vest+pants
Ժակետ+Տաբատ,486,jacket+pants
Ժակետ+Շապիկ,487,jacket+t-shirt
ներդիր,488,shoe inserts
շորտ+վերնաշապիկ,489,shorts+shirt
շրջազգեստ,490,dress
սառաֆան,491,Pinafore Dress
սրբիչ ծովային,492,beach towel
անձրևի բաճկոն,493,Rain jacket
բաճկոն+կոմբինեզոն,494,jacket + overalls
բանդանա,495,bandanna
բռնիչ,496,potholder
գլխարկ+շապիկ,497,hat + t-shirt
գլխարկ+շարֆ,498,hat + scarf
դեկորատիվ սփռոց,499,decorative tablecloth
ջինսե ժակետ,500,jeans jacket
լաթ,501,dusting cloth 
ԼՈԳԱՐԱՆԻ ՁԵՌՆՈՑ,502,wash mitt
ԾՐԱՐ+ԲԱՐՁԻ ԵՐԵՍ,503,duvet cover+pillowcase
կալսոն,504,Long johns
հեծանիվի նստատեղի ծածկոց,506,bicycle seat cover
ՃԱՄՓՈՐԴԱԿԱՆ ԳՈՐԳԻԿ,507,travel mat
ՄԱՍԻԿ,508,ballet shoes
մեջքի կարգավորիչ,509,posture corrector
ներքնաշապիկ,511,undershirt
շապիկ+լեգինս,512,t-shirt + leggings
շապիկ+վարտիք,513,t-shirt + underwear
շորտ ջինսե,514,jeans shorts
շորտ+շապիկ+տաբատ,515,shorts + t-shirt + pants
 շուղեր+թել,516,Crochet Threads set
ՊԱՅՈՒՍԱԿ  ԿՈՇԿԵՂԵՆԻ,517,shoe bag
ՀԱՄԱԿԱՐԳՉԻ ՊԱՅՈՒՍԱԿ,518,laptop bag
ջինսե պիջակ,519,jeans blazer
սեղանի ձևավորման անձեռոցիկ,520,table setting napkin
սեղանի սփռոց,521,Tablecloth
սվիտեր+գլխարկ,522,sweater + hat
ԿՈՇԻԿԻ ԴՆՈՎԻ ՄԻՋԱՏԱԿԵՐ,523,SHOE SOLE INSERTS
շորտ+վարտիք,524,shorts + underwear
վերնաշապիկ+տաբատ,525,Shirt + pants
շորտ+տաբատ,526,shorts + pants
տաբատ+բաճկոն,527,pants + jacket
տաբատ+կարդիգան,528,pants + cardigan
փուչիկ,529,balloon
տաբատ+հուդի,530,pants + hoodie
դպրոցական պայուսակ,531,school backpack
Ձեռքի պայուսակ,532,purse
սպորտային պայուսակ,533,sports bag
ճամփորդական պայուսակ,534,suitcase
գոտկատեղի պայուսակ,535,belt bag
լողափնյա պայուսակ,536,beach bag
բաճկոն+գլխարկ,537,jacket + hat
